Version,address,date,domain,mname,name,recursive,strings,target,type
,,2023-08-03 14:25:02.656424,,,,,,,ScanInfo
,199.167.66.107,,vulnweb.com,ns1.eurodns.com,,,,,SOA
,2610:1c8:b002::107,,vulnweb.com,ns1.eurodns.com,,,,,SOA
,199.167.66.107,,vulnweb.com,,,True,,ns1.eurodns.com,NS
,2610:1c8:b002::107,,vulnweb.com,,,False,,ns1.eurodns.com,NS
,104.37.178.107,,vulnweb.com,,,True,,ns2.eurodns.com,NS
,2610:1c8:b001::107,,vulnweb.com,,,False,,ns2.eurodns.com,NS
,199.167.66.108,,vulnweb.com,,,True,,ns3.eurodns.com,NS
,2610:1c8:b002::108,,vulnweb.com,,,False,,ns3.eurodns.com,NS
,104.37.178.108,,vulnweb.com,,,True,,ns4.eurodns.com,NS
,2610:1c8:b001::108,,vulnweb.com,,,False,,ns4.eurodns.com,NS
,44.228.249.3,,vulnweb.com,,vulnweb.com,,,,A
,,,vulnweb.com,,vulnweb.com,,v=spf1 -all,,TXT
,,,vulnweb.com,,vulnweb.com,,google-site-verification=4LQORV-lTi-d4GPxtBEQWmFnwff7UAazQc9gZvHukbw,,TXT
,,,vulnweb.com,,_dmarc.vulnweb.com,,v=spf1 -all,,TXT
,,,vulnweb.com,,_domainkey.vulnweb.com,,v=spf1 -all,,TXT
,,,vulnweb.com,,_dmarc._domainkey.vulnweb.com,,v=spf1 -all,,TXT
